"%s was added to your shopping cart.","%s è stato aggiunto al tuo carrello."
"%s was updated in your shopping cart.","%s è stato aggiornato nel tuo carrello."
"* Required Fields","* Campi obbligatori"
"Add New Address","Aggiungi nuovo indirizzo"
"Add New Condition","Aggiungi nuova condizione"
"Add coupon code for shopping cart","Aggiungi buono sconto per il carrello."
"Add product to shopping cart","Aggiungi prodotto al carrello"
"Add product(s) to shopping cart","Aggiungi prodotto/i al carrello"
"Add to Cart","Aggiungi al carrello"
"Add to Compare","Confronta"
"Add to Wishlist","Aggiungi alla Wishlist"
"Additional Product Info","Info aggiuntive prodotto"
"Address","Indirizzo"
"Address %s of %s","Indirizzo %s di %s"
"After Adding a Product Redirect to Shopping Cart","Dopo aver aggiunto un prodotto reindirizzamento al carrello"
"Allow Guest Checkout","Permetti Checkout ospiti"
"Already registered?","Già registrato?"
"An error occurred in the process of payment","Si è verificato un errore nel processo di pagamento"
"An error occurred while deleting this condition.","Si è verificato un errore durante la cancellazione di questa condizione."
"An error occurred while saving this condition.","Si è verificato un errore durante il salvataggio di questa condizione."
"Apply Coupon","Applica Coupon"
"Are you sure you would like to remove this item from the shopping cart?","Sei sicuro di voler rimuovere questo articolo dal carrello?"
"Are you sure you would like to erase all item from the shopping cart?", "Sei sicuro di voler eliminare tutti gli elementi all'interno del carrello?"
"Back","Indietro"
"Back to Billing Information","Torna alle informazioni di fatturazione"
"Back to Select Addresses","Torna agli indirizzi selezionati"
"Back to Shipping Information","Torna alle informazioni di spedizione"
"Back to Shopping Cart","Torna al carrello"
"Based on your selection, you may be interested in the following items:","Sulla base della tua scelta, potresti essere interessato ai seguenti articoli:"
"Billing Address","Indirizzo di fatturazione"
"Billing Information","Informazioni fatturazione"
"Billing Information - %s","Informazioni di fatturazione - %s"
"Cancel Coupon","Cancella Coupon"
"Cannot add item to the shopping cart.","Impossibile aggiungere l\'articolo al carrello."
"Cannot add more then one product at once to cart.","Impossibile aggiungere più di un prodotto alla volta nel carrello."
"Cannot add products without bundle.","Impossibile aggiungere prodotti al carrello senza un'offerta selezionata."
"Cannot add the item to shopping cart","Impossibile aggiungere l\'articolo al carrello."
"Cannot add the item to shopping cart.","Impossibile aggiungere l\'articolo al carrello."
"Cannot add more then 1 option to cart.","Impossibile aggiungere due opzioni al carrello."
"Cannot add two accessories to cart.","Impossibile aggiungere due accessori al carrello."
"Cannot add two bundle to cart.","Impossibile aggiungere due offerte al carrello."
"Cannot apply the coupon code.","Impossibile applicare il codice del coupon."
"Cannot configure product.","Impossibile configurare il prodotto."
"Cannot open the overview page","Impossibile aprire la pagina di riepilogo"
"Cannot process the item.","Impossibile elaborare l\'articolo."
"Cannot remove the item.","Impossibile rimuovere l\'articolo."
"Cannot update shopping cart.","Impossibile aggiornare il carrello."
"Cannot update the item.","Impossibile aggiornare l\'articolo."
"Card Verification Number Visual Reference","Numero di verifica carta riferimento visivo"
"Cart Product Api","Api carrello prodotto"
"Cart Subtotal:","Subtotale carrello:"
"Change","Modifica"
"Change Billing Address","Cambia indirizzo di fatturazione"
"Checkbox Text","Checkbox Text"
"Checkout","Checkout"
"Checkout Conditions","Condizioni Checkout"
"Checkout Method","Metodo di Checkout"
"Checkout Options","Opzioni di Checkout"
"Checkout Progress Wrapper","Progresso wrapper Checkout"
"Checkout Section","Sezione di Checkout"
"Checkout Terms and Conditions","Termini e condizioni di Checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o registrati"
"Checkout with Multiple Addresses","Checkout con indirizzi multipli"
"City","Città"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clicca <a href=""%s"" onclick=""this.target=\'_blank\'"">qui per stampare</a> una copia della conferma dell\'ordine."
"Click <a href=""%s"">here</a> to continue shopping.","Clicca <a href=""%s"">qui</a> per continuare l&#39;acquisto."
"Close","Chiuso"
"Company","Società"
"Condition Name","Nome condizione"
"Configurable Product Image","Immagine prodotto configurabile"
"Configure Cart Item","Configura carrello articolo"
"Confirm Password","Conferma Password"
"Content","Contenuto"
"Content Height","Altezza contenuto"
"Content Height (css)","Altezza contenuto (css)"
"Continue","Continua"
"Continue Shopping","Continua l\'acquisto"
"Continue to Billing Information","Continua verso le informazioni di fatturazione"
"Continue to Review Your Order","Continua per rivedere il tuo ordine"
"Continue to Shipping Information","Continua verso le informazioni di spedizione"
"Country","Paese"
"Coupon code ""%s"" is not valid.","Il buono sconto ""%s"" non è valido."
"Coupon code ""%s"" was applied.","Il buono sconto ""%s"" è stato applicato."
"Coupon code was canceled.","Il buono sconto è stato cancellato."
"Create Billing Address","Crea indirizzo di fatturazione"
"Create Shipping Address","Crea indirizzo di spedizione"
"Create an order from shopping cart","Crea un ordine dal carrello"
"Create shopping cart","Crea carrello"
"Customer Information","Informazioni cliente"
"Customer's information","Informazioni del cliente"
"Data saving problem","Problema salvataggio dati"
"Default Billing","Fatturazione predefinita"
"Default Shipping","Spedizione predefinita"
"Delete Condition","Cancella condizione"
"Details","Dettagli"
"Disabled","Disabilitato"
"Discount Codes","Codici sconto"
"Display Cart Summary","Visualizza riepilogo carrello"
"Display Shopping Cart Sidebar","Visualizza Sidebar carrello"
"Display item quantities","Visualizza quantità articolo"
"Display number of items in cart","Visualizza il numero degli articoli nel carrello"
"Display number of items in wishlist","Visualizza il numero degli articoli nella wishlist"
"Easy access to your order history and status","Facile accesso alla cronologia ordini e allo stato"
"Edit","Modifica"
"Edit Address","Modifica indirizzo"
"Edit Billing Address","Modifica indirizzo di fatturazione"
"Edit Items","Modifica articoli"
"Edit Shipping Address","Modifica indirizzo di spedizione"
"Edit Terms and Conditions","Modifica termini e condizioni"
"Edit Your Cart","Modifica il tuo carrello"
"Edit item","Modifica articolo"
"Edit item parameters","Modifica parametri articolo"
"Email Address","Indirizzo email"
"Enable Onepage Checkout","Abilita Onepage Checkout"
"Enable Terms and Conditions","Abilita termini e condizioni"
"Enabled","Abilitato"
"Enter a New Address","Inserisci un nuovo indirizzo"
"Enter your coupon code if you have one.","Inserisci il tuo buono sconto se ne hai uno."
"Enter your destination to get a shipping estimate.","Inserisci la destinazione per avere una stima di spedizione."
"Estimate Shipping and Tax","Stima spedizione e tasse"
"Excl. Tax","Escl. Tasse"
"Fast and easy check out","Check out facile e veloce"
"Fax","Fax"
"Forgot an Item?","Hai dimenticato un articolo?"
"Forgot your password?","Hai dimenticato la password?"
"Get a Quote","Ottieni un preventivo"
"Get list of available payment methods","Ottieni una lista dei metodi di pagamento disponibili"
"Get list of available shipping methods","Ottieni una lista dei metodi di spedizione disponibili"
"Get list of products in shopping cart","Ottieni una lista dei prodotti nel carrello"
"Get terms and conditions","Ottieni termini e condizioni"
"Get total prices for shopping cart","Ottieni totale prezzi per il carrello"
"Grand Total:","Totale complessivo:"
"Grouped Product Image","Immagini prodotto raggruppate"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tasse"
"Invalid method: %s","Metodo non valido: %s"
"Item not found or already ordered","Articolo non trovato o già ordinato"
"Items","Articoli"
"Items After","Articoli seguenti"
"Items Before","Articoli precedenti"
"Load customer quote error","Caricamento cliente errore menzionato"
"Loading next step...","Caricamento dati in corso"
"Login","Accedi"
"Login/Registration Before","Accedi/Registrati prima"
"Manage Checkout Terms and Conditions","Gestione Checkout Termini e condizioni"
"Max allowed size 2 Megabytes.","Dimensione massima 2 Megabytes."
"Maximum Display Recently Added Item(s)","Visualizzazione massima articoli aggiunti di recente"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximum qty allowed for Shipping to multiple addresses is %s"
"Move to Wishlist","Sposta nella Wishlist"
"Multishipping Checkout","Checkout con spedizioni multiple"
"Multishipping Checkout Address (Any) Form","Modulo Checkout spedizioni multiple indirizzo (qualsiasi)"
"Multishipping Checkout Billing Address Creation","Creazione indirizzo fatturazione Checkout con spedizioni multiple"
"Multishipping Checkout Billing Address Edit Form","Modifica modulo inirizzo di fatturazione Checkout con spedizioni multiple"
"Multishipping Checkout Billing Address Selection","Selezione indirizzo di fatturazione Checkout con spedizioni multiple"
"Multishipping Checkout Billing Information Step","Passo informazioni fatturazione Checkout con spedizioni multiple"
"Multishipping Checkout Customer Address Edit Form","Modifica modulo indirizzo cliente Checkout con spedizioni multiple"
"Multishipping Checkout Overview","Panoramica Checkout con spedizioni multiple "
"Multishipping Checkout Shipping Address Creation","Creazione indirizzo fatturazione Checkout con spedizioni multiple "
"Multishipping Checkout Shipping Address Edit Form","Modifica modulo indirizzo di fatturazione Checkout con spedizioni multiple "
"Multishipping Checkout Shipping Address Selection","Selezione indirizzo di spedizione Checkout con spedizioni multiple  "
"Multishipping Checkout Shipping Information Step","Passo informazioni spedizione Multishipping Checkout "
"Multishipping Checkout Success","Checkout con spedizioni multiple  riuscito"
"My Cart","Il mio carrello"
"My Cart (%s item)","Il mio carrello (%s articoli)"
"My Cart (%s items)","Il mio carrello (%s articoli)"
"My Cart Link","Il mio carrello Link"
"New Address","Nuovo indirizzo"
"New Condition","Nuova condizione"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout non riuscito"
"One Page Checkout Overview","One Page Checkout panoramica"
"One Page Checkout Success","One Page Checkout riuscito"
"Order #","Ordine #"
"Order Review","Rivedi ordine"
"Order Success","Ordine riuscito"
"Other Items in Your Order","Altri articoli nel tuo ordine"
"Overview Items After","Panoramica oggetti seguenti"
"Password","Password"
"Payment Failed Email Reciever","Pagamento non riuscito destinatario email"
"Payment Failed Email Sender","Pagamento non riuscito mittente email"
"Payment Failed Emails","Emai pagamento non riuscito"
"Payment Failed Template","Template pagamento non riuscito"
"Payment Information","Informazioni di pagamento"
"Payment Method","Metodo di pagamento"
"Payment Methods After Checkout Button","Metodi di pagamento dopo il pulsante di Checkout"
"Payment Methods Before Checkout Button","Metodi di pagamento prima del pulsante di Checkout"
"Payment method information","Informazioni metodo di pagamento"
"Payment method is not defined","Metodo di pagamento non definito"
"Payment methods in shopping cart","Metodi di pagamento nel carrello"
"Payment profile # %s: ""%s"".","Profilo pagamento # %s: ""%s""."
"Place Order","Effettua ordine"
"Please agree to all Terms and Conditions before placing the order.","Accetta tutti i termini e le condizioni prima di effettuare l\'ordine."
"Please agree to all Terms and Conditions before placing the orders.","Accetta tutti i termini e le condizioni prima di effettuare gli ordini."
"Please agree to all the terms and conditions before placing the order.","Accetta tutti i termini e le condizioni prima di effettuare l\'ordine."
"Please log in below:","Accedi:"
"Please select region, state or province","Selezona regione, stato o provincia"
"Please select shipping address for applicable items","Seleziona un indirizzo di spedizione applicabile agli articoli"
"Please select shipping methods for all addresses","Seleziona i metodi di pagamento per tutti gli indirizzi"
"Price","Prezzo"
"Proceed to Checkout","Procedi al Checkout"
"Product","Prodotto"
"Product Name","Nome prodotto"
"Products","Prodotti"
"Qty","Qtà"
"Qty:","Qtà:"
"Quantity was recalculated from %d to %d","La quantità è stata ricalcolata da %d a %d"
"Quote Lifetime (days)","Durata dichiarata (giorni)"
"Quote item does not exist.","L\'articolo dichiarato non esiste."
"Quote item is not found.","L\'articolo dichiarato non è stato trovato."
"Recently added item(s)","Articoli/o aggiunti di recente"
"Register","Registrati"
"Register and save time!","Registrati e risparmia tempo!"
"Register to Create an Account","Register to Create an Account"
"Register with us for future convenience:","Registrati con noi per i vantaggi futuri:"
"Remove Item","Rimuovi articolo"
"Remove This Item","Rimuovi questo articolo"
"Remove coupon code from shopping cart","Rimuovi buono sconto dal carrello"
"Remove item","Rimuovi articolo"
"Remove product from shopping cart","Rimuovi prodotto dal carrello"
"Remove product(s) from shopping cart","Rimuovi prodotto dal carrello"
"Retrieve information about shopping cart","Recupera informazioni sul carrello"
"Review Order","Rivedi ordine"
"Review Order - %s","Rivedi ordine - %s"
"Sales","Vendite"
"Save Condition","Salva condizione"
"Save in address book","Salva nella rubrica"
"Select Address","Seleziona indirizzo"
"Select Addresses","Seleziona indirizzi"
"Select Shipping Method","Seleziona metodo di spedizione"
"Select State/Province...","Seleziona Stato/Provincia..."
"Select a billing address from your address book or enter a new address.","Seleziona un indirizzo di fatturazione dalla tua rubrica o inserisci un nuovo indirizzo."
"Select a shipping address from your address book or enter a new address.","Seleziona un indirizzo di spedizione dalla tua rubrica o inserisci un nuovo indirizzo."
"Send Payment Failed Email Copy Method","Invia una copia via email del metodo di pagamento non riuscito"
"Send Payment Failed Email Copy To","Invia via email una copia del pagamento non riuscito a"
"Send To","Invia a"
"Separate by "","".","Separato da "",""."
"Set customer for shopping cart","Impostazioni cliente per il carrello"
"Set customer's addresses in shopping cart","Imposta gli indirizzi del cliente nel carrello"
"Set payment method","Imposta metodo di pagamento"
"Set shipping method","Imposta metodo di spedizione"
"Ship to Multiple Addresses","Spedisci a più indirizzi"
"Ship to different address","Spedisci ad un indirizzo diverso"
"Ship to this address","Spedisci a questo indirizzo"
"Shipping Address","Indirizzo di spedizione"
"Shipping Information","Informazioni di spedizione"
"Shipping Method","Metodo di spedizione"
"Shipping Methods","Metodi di spedizione"
"Shipping To","Spedizione verso"
"Shipping information","Informazioni spedizione"
"Shipping method has not been selected yet","Il metodo di spedizione non è stato ancora selezionato"
"Shipping methods in shopping cart","Metodi di spedizione nel carrello"
"Shipping selection is not applicable.","Selezione spedizione non applicabile"
"Shopping Cart","Il tuo carrello"
"Shopping Cart Form Before","Modulo precedente carrello"
"Shopping Cart Sidebar","Sidebar carrello"
"Shopping Cart Sidebar Extra Actions","Azioni extra barra laterale carrello"
"Shopping Cart is Empty","Il carrello è vuoto"
"Shopping cart ability to set coupon code","Capacità del carrello di impostare il buono sconto"
"Show Content as","Mostra contenuto come"
"Some of the requested products are not available in the desired quantity.","Alcuni dei prodotti richiesti non sono disponibili nella quantità desiderata."
"Some of the requested products are unavailable.","Alcuni dei prodotti richiesti non sono disponibili."
"Some products quantities were recalculated because of quantity increment mismatch","La quantità di alcuni prodotti è stata ricalcolata a causa della mancata corrispondenza con la quantità di incremento"
"Sorry, no quotes are available for this order at this time.","Ci dispiace, non è disponibile nessun preventivo per questo ordine al momento."
"State/Province","Stato/Provincia"
"Status","Stato"
"Store View","Vista negozio"
"Street Address","Indirizzo"
"Street Address %s","Indirizzo %s"
"Submitting order information...","Presenta informazioni ordine..."
"Subtotal","Subtotale"
"Telephone","Telefono"
"Terms and Conditions","Termini e condizioni"
"Terms and Conditions Information","Informazioni termini e condizioni"
"Terms and conditions","Termini e condizioni"
"Text","Testo"
"Thank you for your purchase!","Ti ringraziamo per il tuo acquisto!"
"The condition has been deleted","La condizione è stata cancellata"
"The condition has been saved.","La condizione è stata salvata."
"The onepage checkout is disabled.","La onepage checkout è disabilitata."
"The product could not be found.","Il prodotto non è stato trovato."
"The product does not exist.","Il prodotto non esiste."
"There are <a href=""%s"">%s items</a> in your cart.","Ci sono <a href=""%s"">%s articoli</a> nel tuo carrello."
"There is <a href=""%s"">1 item</a> in your cart.","C\'è <a href=""%s"">1 articolo</a> nel tuo carrello."
"There was an error processing your order. Please contact us or try again later.","Si è verificato un errore durante l\'elaborazione del tuo ordine. Contattaci o prova di nuovo più tardi."
"This condition no longer exists.","Questa condizione non esiste più."
"Total","Totale"
"Total for this address","Totale per questo indirizzo"
"Unable to set Payment Method.","Impossibile impostare il metodo di pagamento."
"Unit Price","Prezzo unitario"
"Update Cart","Aggiorna il carrello"
"Update Qty &amp; Addresses","Aggiorna Qtà &amp; indirizzi"
"Update Shopping Cart","Aggiorna carrello"
"Update Total","Aggiorna totale"
"Update product quantities in shopping cart","Aggiorna quantità prodotti nel carrello"
"Update product(s) quantities in shopping cart","Aggiorna quantità prodotto/i nel carrello"
"Use Billing Address","Utilizza indirizzo di fatturazione"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Stiamo elaborando il tuo ordine a breve riceverai un email con i dettagli dell\'ordine. Una volta che l\'ordine sarà spedito riceverai un altra email con il link per seguirne i progressi."
"You have no items in your shopping cart.","Nessun prodotto presente nel carrello"
"Continue shopping","Continua lo shopping"
"You will receive an order confirmation email with details of your order and a link to track its progress.","Riceverai una conferma dell\'ordine via email con i dettagli del tuo ordine e il link per seguirne i progressi."
"Your Checkout Progress","I tuoi progressi Checkout"
"Your billing agreement # is: %s.","Il tuo accordo di fatturazione # è: %s."
"Your order # is: %s.","Il tuo ordine # è: %s."
"Your order has been received","Il tuo ordine è stato ricevuto"
"Your order number is ","Il tuo numero d\'ordine è"
"Your recurring payment profiles:","I tuoi profili di pagamento ricorrenti:"
"Zip/Postal Code","Zip/Codice postale"
"osCommerce Orders","Ordini osCommerce"
"Plan configuration","Configurazione piano"
"Shipment and Billing","Spedizione e fatturazione"
"Payment and confirmation","Pagamento e conferma"
"Step 1 - Plan configuration", "Step 1 - Configurazione piano"
"required","obbligatorio"
"requiredfields","campi obbligatori"
"Activation type","Tipologia di attivazione"
"Your choice:","Hai scelto:"
"Available types","Le tipologie di attivazione disponibili"
"Error message","Messaggio di errore"
"Please select one of the option","Devi selezionare una delle opzioni presenti"
"Activate new number","Voglio attivare un nuovo numero"
"Fields are required","I campi contrassegnati con asterisco sono obbligatori"
"activationnumber", "Dopo aver attivato la tua SIM, scegli uno dei "
"activationnumber2",", per avere chiamate senza limiti verso il tuo numero Vodafone preferito."
"I want to pass Vodafone","Voglio passare a Vodafone"
"I want to carry my number to Vodafone", "Voglio portare il mio numero in Vodafone"
"Insert number","Inserisci il numero"
"Confirm number", "Conferma numero"
"receivecorriere","Riceverai tramite corriere la documentazione da compilare per l'attivazione della tua nuova SIM."
"required fields","campi obbligatori"
"ID Number","Documento d'identit&agrave"
"Document type","Tipo di documento"
"ID card", "Carta d'identità"
"Document number","Numero documento"
"Country","Paese"
"Italy","Italia"
"Go to next step","Continua"
"Your total is","Il tuo totale attuale è di"
"Your starting total is","Il totale relativo al contributo iniziale è di"
"Personal information","Dati personali"
"Contacts","Contatti"
"Billing address","Indirizzo di fatturazione"
"Shipment","Modalità di consegna"
"configurationplan","Di seguito ti chiediamo di configurare il tuo piano selezionando una delle opzioni di attivazione presenti. Potrai completare l'operazione inserendo i dati di un tuo documento di identità."
"Please select one type of activation","Seleziona una delle tipologie di attivazione presenti"
"newabb","Voglio attivare un nuovo Abbonamento"
"fromrictoabb","Sono già cliente Vodafone Ricaricabile e voglio passare ad Abbonamento mantenendo il mio numero"
"changeplan","Sono già cliente Vodafone Abbonamento e voglio effettuare un cambio piano"
"Phone number","Numero di cellulare"
"fromrictoabbnumber","Inserisci il tuo numero Ricaricabile che vuoi convertire in Abbonamento"
"wrtcustomerbasenumber","Inserisci il tuo numero di cellulare  su cui vuoi abbinare lo smartphone a rate"
"trasferimentocredito","Tra i moduli che riceverai troverai "
"trasferimentocredito2"," per richiedere l'accredito in fattura del credito residuo della tua SIM Ricaricabile."
"preferednumber","Se hai scelto uno dei pacchetti Tutto Facile+ puoi chiamare un numero Vodafone senza limiti. Per inserire il numero preferito vai su https://vodafonepiu.vodafone.it/numeropreferito/ o chiama il 42074 dopo l'attivazione della SIM."
"testo1","Su ogni SIM è possibile avere attiva una sola offerta con telefono."
"testo2","Verifica se sulla tua SIM è già attiva un’offerta con telefono con un vincolo di permanenza minimo (Telefono Incluso, Telefono Facile o Telefono No Problem)."
"testo3","Puoi verificare l'informazione sulla rata e sul vincolo:<br>
- nella tua Area personale 190 Fai da te <br>
- nel dettaglio della tua Fattura cartacea o online"
"abbnumberchangeplan","Inserisci il tuo numero Abbonamento su cui effettuare cambio piano"
"privacy1","In deroga a quanto previsto dalle Condizioni Generali di Contratto, i pacchetti SMART 300+, SMART 600+, SMART 1200+, SMART 2000+ hanno una durata contrattuale minima di 12 mesi decorrenti dalla data di attivazione del Piano. Rispetto alla scadenza indicata, in caso di recesso anticipato, di disattivazione della scheda o di cambio piano (a esclusione del passaggio verso un piano con contributo mensile di importo superiore rispetto al piano di provenienza tra i piani sopra indicati), sarai tenuto al pagamento di un corrispettivo pari a 100 euro."
"privacy2","Se il piano attualmente attivo sulla tua SIM prevede uno sconto sulla Tassa di Concessione Governativa, procedendo con la richiesta di cambio piano rinuncerai allo sconto applicato. "
"privacy3","N.B. Ti ricordiamo che qualora il tuo piano attuale appartenga alla famiglia Più Facile con attivo il servizio You&Me senza limiti, lo stesso non sarà più disponibile con il nuovo piano. Se hai scelto uno dei pacchetti SMART+ potrai comunque chiamare un numero Vodafone senza limiti. Per inserire il numero preferito entra nell'area "
"privacy3b"," o chiama il 42074, dopo aver ricevuto l’sms di conferma del cambio piano. "
"privacy4","Ti ricordiamo che riceverai un SMS di conferma dell'avvenuta variazione."
"Passport","Passaporto"
"Operation is not successfully completed.","Operazione non andata a buon fine."
"Please try later.","Ti invitiamo a riprovare più tardi."
"Click here to be contacted by an operator","Clicca qui per essere contattato da un operatore"
"contact_button","Ti contattiamo!"
"Options and accessories","Opzioni e accessori"
"Associated options and accessories","Opzioni e accessori associati"
"Add options and accessories","Aggiungi opzioni e accessori"
"We invite you to check the available credit limit on the card used","Ti invitiamo a verificare il plafond disponibile sulla carta utilizzata"
"The card used does not allow you to continue with the purchase. We invite you to use another card.","La carta utilizzata non consente di proseguire con l'acquisto. Ti invitiamo ad utilizzare un'altra carta."
"Dear customer due to technical problems we need to proceed with further investigation.","Gentile cliente a causa di problemi tecnici <br />abbiamo la necessità di procedere con ulteriori verifiche.<br />Verrai ricontattato da un nostro operatore quanto prima."
"Stepthree_Success_Message","Grazie per aver scelto l'offerta %PRODOTTI%." 
"Stepthree_Success_Message2"," Ti ricordiamo che l'offerta prevede un contributo iniziale."
"Stepthree_Success_Message3"," Controlla la tua mail per i dettagli sulla sottoscrizione."
"Delivery","Consegna"
"Stepthree_Success_Message_Two","Riceverai l'offerta comodamente a casa tua entro la data da te indicata.<br /> Potrai in seguito verificare in ogni momento lo stato di avanzamento del tuo ordine, utilizzando il codice che riceverai via mail.<br />"
"Buyed Items","I tuoi ordini"
"Order ID","ID ordine"
"Back to the Shop","Torna allo Shop"
"Print confirm","Stampa conferma"
"Confirm","Conferma"
"on the coupon code"," sul codice sconto "
"Messaggio Codice buono sconto","Se hai un buono sconto inserisci il codice qui in alto. Se non diversamente indicato, lo sconto non è cumulabile con altre promozioni in corso. In caso di problemi tecnici dovrai aspettare 30 minuti prima di inserire nuovamente il codice."
"Items in your basket", "Prodotti a carrello"
"Coupon Code","Codice buono sconto"
"Send","Calcola"
"All amounts quoted are inclusive of VAT","Tutti gli importi indicati sono da intendersi IVA inclusa"
"VAT included","iva inclusa"
"Empty Cart","Svuota il carrello"
"Empty The Cart","Svuota il carrello"
"Proceed with log-in","Procedi con autenticazione"
"Proceed as guest","Procedi come ospite"
"Are you sure you want to delete items from the cart?","Sei sicuro di voler cancellare gli articoli dal carrello?"
"Freelancer","Libero Professionista"
"Birth Date","Data di nascita"
"Gender","Sesso"
"Male","uomo"
"Female","donna"
"Tax/VAT number","N. partita IVA"
"VAT number","IVA"
"Id Tax Number","Codice fiscale"
"Region of Birth","Provincia di nascita"
"Region of Birth (1)","Provincia di nascita"
"City of Birth","Citt&#224; di nascita"
"(!) If you were born outside Italy, select Foreign","(!) se nato non in Italia, selezionare Estero"
"Go to shop","Procedi e acquista"
"Change your shop","Modifica acquisto"
"Phone number not correctly confirmed","Numero di telefono non confermato correttamente"
"Erase your cart","Svuota carrello"
"testo1b","Se vuoi abbinare uno smartphone al tuo piano Abbonamento puoi recarti presso un Punto vendita."
"Browse","File documento"
"testosteptwo","Vodafone ti dà la possibilità di gestire comodamente online la Fattura, ove previsto, e si impegna a utilizzare l'indirizzo e-mail da te indicato per ogni tipo di comunicazione: senza accumulare carta risparmi sui costi di spedizione e controlli facilmente la tua spesa. In caso scegliessi tale modalità, questa condizione sarà applicata a tutti i contratti di Abbonamento a te intestati. Potrai cambiarla semplicemente accedendo alla tua area personale 190 Fai da te."
"testoid1","Se non sei già cliente Vodafone dovrai (in ottemperanza al DL n. 144 del 27/07/2005) consegnare una fotocopia del tuo documento d'identità al corriere. In alternativa, per accelerare l'attivazione della tua SIM, puoi caricare ora il tuo documento di identità."
"testoid2","Nota: Ricordati di caricare tutte le pagine necessarie del tuo documento (fronte/retro per carta d'identità, fronte per il passaporto)."
"testoid3","I formati possibili sono jpg e pdf. Ogni file non deve superare i 2Mb."
"testoid5","Puoi anche caricare un solo file, l’importante è inserire sia fronte che retro del documento."
"email confirmation do not correspond.", "I due indirizzi email non corrispondono"
"Postocode number not valid.", "Il CAP inserito non è valido."
"telephone not valid.", "telefono non  valido."
"telephone confirm not valid.", "Il numero di telefono di conferma &egrave in un formato non valido"
"number not valid." , "Il numero di telefono &egrave in un formato non valido"
"email not valid." , "L'email non &egrave in un formato valid"
"email confirm not valid.", "L'email non &egrave in un formato valido"
"email confirmation do not correspond." , "Le email non corrispondono"
"email alternative not valid." , "L'email di fatturazione non valida"
"Street required." , "'Via/Piazza (max 35 caratteri)' &egrave obbligatorio"
"Street number not valid." , "'Numero civico' non &egrave valido"
"City required." , "'Città' &egrave obbligatorio "
"Suburb required." , "'Frazione' non &egrave valido"
"Region not valid." , "Regione' non &egrave valido"
"delivery date not valid" , "Data di consegna non valida"
"gift pack value not valid" , "Pacco regalo non disponibile"
"delivery time range not valid" , "Ora di consegna non valida"
"shipping type not valid", "Metodo di spedizione non valido"
"telephone confirm do not correspond", "Il numero di telefono non corrisponde"
"testoid4","Se invece sei già cliente Vodafone ti informiamo che, qualora il documento di identità da te fornito e presente nei nostri archivi fosse scaduto, verrai ricontattato tramite SMS in modo che tu possa prepararne una copia e consegnarla al corriere al momento della consegna."
"Total to be charged on the card","Totale da addebitare sulla carta"
"Total shopping","Totale acquisto"
"Product not available.","Il prodotto non è disponibile."
"testo0","Se vuoi richiedere un cambio piano <b> senza modificare </b> la tipologia della tua SIM/MicroSIM accedi all'area "
"testo0b",", altrimenti procedi inserendo i dati sotto.</br>"
"Or change plan","oppure se sei già cliente Vodafone Abbonamento e vuoi effettuare un <b>cambio piano</b>, accedi all'area "
"Hello ","Ciao "
"Your credit available is","Il tuo credito disponibile è di"
"Use Store Credit", "Voglio utilizzare il mio credito"
"available","disponibili"
"<strong>Warning:</strong> paypal_alert","<strong>Attenzione:</strong> utilizzando come metodo di pagamento Paypal al momento del check out, la data di consegna viene automaticamente posticipata di due gg lavorativi."
"Credit Card", "Carta di Credito"
"Check Cart Data", "Controlla la selezione del tipo di attivazione"
"Select login", "Prego selezionare una login"
"Check Phone Number", "Prego, verifica il numero di telefono"
"How would you Pay?", "Come desideri pagare le rate del tuo abbonamento?"
"Please, select a recurring payment method", "Selezionare una tipologia di pagamento ricorrente"
"Check IBAN code", "Controllare il codice IBAN"
"Che tipo di SIM desideri?", "Che tipo di SIM desideri?"
"Che tipo di piano hai sul tuo numero Vodafone?", "Che tipo di piano hai sul tuo numero Vodafone?"
"Inserisci il numero su cui vuoi attivare ", "Inserisci il numero su cui vuoi attivare "
"Nome", "Nome"
"Cognome", "Cognome"
"Codice Fiscale o Partita IVA", "Codice Fiscale o Partita IVA"
"Tipo di documento", "Tipo di documento"
"Data di rilascio del documento", "Data di rilascio del documento"
"Numero documento", "Numero documento"
"Recapito telefonico", "Recapito telefonico"
"Conferma", "Conferma"
"Il numero da te inserito non è associato alla tua registrazione.", "Il numero da te inserito non è associato alla tua registrazione."
"Per procedere devi essere il reale utilizzatore della SIM.", "Per procedere devi essere il reale utilizzatore della SIM."
"Puoi farlo xxxxx", "Puoi farlo xxxxx"
"Vai su 190Faidate", "Vai su 190Faidate"
"N.B. Tempi di attesa", "N.B. Tempi di attesa"
"Per procedere devi effettuare un subentro.", "Per procedere devi effettuare un subentro."
"Subentro", "Subentro"